code,len,wid,time,mat,img_path,url
c09,30.0,45.0,15.0,15.0,product_images\hakiki-deri-Kadın-Cüzdan-mor.jpg,https://yedideri.com/product/hakiki-deri-kadin-cuzdan/
c12,10.0,45.0,10.0,10.0,product_images\Mini-Kartlık-cüzdan4.jpg,https://yedideri.com/product/mini-kartlik-cuzdan/
c13,35.0,25.0,20.0,20.0,product_images\c13f.jpg,https://yedideri.com/product/hakiki-deri-fermuarli-yumusak-cuzdan/
k01,23.0,20.0,10.0,120.0,product_images\akardon-kartlık.jpg,https://yedideri.com/product/akordiyon-cuzdan-kartlik-unisex-ici-kumasli-hakiki-deri/
o06,17.0,30.0,15.0,10.0,product_images\Hakiki-Deriden-Klasik-Gözlük-Kılıfı1.jpg,https://yedideri.com/product/hakiki-deriden-klasik-gozluk-kilifi/
p01,20.0,50.0,15.0,5.0,product_images\Hakiki-Deri-Pasaport-Kilifi-Pasaportluk.jpg,https://yedideri.com/product/deri-pasaport-kilifi/
k09,22.0,24.0,20.0,5.0,product_images\Gerçek-Deri-Kartlık-k9k.jpg,https://yedideri.com/product/gercek-deri-kartlik/
a16,20.0,17.0,5.0,15.0,product_images\Gemini_Generated_Image_i5yjpxi5yjpxi5yj.png,https://yedideri.com/product/origami-gercek-deri-oto-anahtarlik/
k11,30.0,30.0,20.0,10.0,product_images\Hakiki-Deri-Unisex-Kart-Vizitlik-kahverengi-1.jpg,https://yedideri.com/product/hakiki-deri-klasik-kartlik/
k10,27.0,13.0,10.0,5.0,product_images\Hakiki-Deri-Unisex-Kartlık-bordo.jpg,https://yedideri.com/product/hakiki-deri-erkek-kartlik/
o05,20.0,50.0,20.0,15.0,product_images\Ekran görüntüsü 2026-01-15 164307.png,https://yedideri.com/product/tutun-kesesi-cuzdan-tutun-cantasi-gercek-deri/
a05,15.0,13.0,5.0,15.0,product_images\Origami-Crazy-Hakiki-Deri-Kahverengi-anahtarlık.jpg,https://yedideri.com/product/origami-hakiki-deri-anahtarlik/
b09,31.0,42.0,30.0,30.0,product_images\Ekran görüntüsü 2026-01-15 170744.png,https://yedideri.com/product/kozmetik-makyaj-tiras-el-cantasi/
b12,50.0,50.0,30.0,200.0,product_images\gercek-deri-mini-crossbody-canta-b12k1.jpg,https://yedideri.com/product/gercek-deri-mini-crossbody-canta/
b14,47.0,37.0,30.0,200.0,product_images\gercek-deri-kucuk-kare-crossbody-canta-b14k.jpg,https://yedideri.com/product/gercek-deri-kucuk-kare-crossbody-canta/
b21,84.0,46.0,60.0,100.0,product_images\photo_48_2025-05-17_16-46-40.jpg,https://yedideri.com/product/yumusak-suet-orta-boy-omuz-cantasi/
b22,50.0,60.0,60.0,150.0,product_images\Ekran görüntüsü 2026-01-15 133810.png,https://yedideri.com/product/luks-zincir-askili-hakiki-deri-canta/
a01,20.0,17.0,15.0,20.0,product_images\Fermuarlı-Deri-Anahtarlık.jpg,https://yedideri.com/product/deri-fermuarli-anahtarlik/
a02,20.0,17.0,15.0,30.0,product_images\klasik-deri-anahtarlik-erkek-kadin-fermuarli-araba-anahtari-kilifi.jpg,https://yedideri.com/product/klasik-deri-anahtarlik-erkek-kadin-fermuarli-araba-anahtari-kilifi/
c10,27.0,35.0,30.0,10.0,product_images\Hakiki-Deri-Bozuk-Para-Cepli-Erkek-Cüzdan-Kartlık-1.jpg,https://yedideri.com/product/hakiki-deri-bozuk-para-cepli-erkek-cuzdan/
k06,32.0,14.0,15.0,100.0,product_images\fil-sekilli-gercek-deri-kartlik-bereket-ve-sans-sembolu-akordeon-cuzdan.jpg,https://yedideri.com/product/fil-sekilli-gercek-deri-kartlik-bereket-ve-sans-sembolu-akordeon-cuzdan/
c105,50.0,25.0,20.0,20.0,product_images\c105b.jpg,https://yedideri.com/product/gercek-deri-fermuarli-kucuk-kadin-cuzdani/
c17,21.0,70.0,20.0,15.0,product_images\Ekran görüntüsü 2026-01-15 145200.png,https://yedideri.com/product/hakiki-deri-unisex-telefon-cuzdani/
c03,75.0,15.0,20.0,15.0,product_images\leather-wallet1.jpg,https://yedideri.com/product/hakiki-deri-erkek-cuzdan/
c11,36.0,18.0,15.0,100.0,product_images\photo_3_2026-01-24_10-19-02.jpg,
b02,80.0,50.0,60.0,100.0,product_images\Ekran görüntüsü 2026-01-15 165942.png,https://yedideri.com/product/hakiki-deri-laptop-cantasi-sik-ve-fonksiyonel-tasarim/
b03,70.0,72.0,120.0,300.0,product_images\Ekran görüntüsü 2026-01-15 171111.png,https://yedideri.com/product/orijinal-deri-kadin-laptop-cantasi/
b15,106.0,58.0,120.0,500.0,product_images\1.jpg,https://yedideri.com/product/hudson-model-hakiki-deri-kadin-cantasi-luks-ve-sik-el-omuz-cantasi/
b16,110.0,45.0,60.0,200.0,product_images\Ekran görüntüsü 2026-01-15 170319.png,https://yedideri.com/product/luks-hakiki-deri-bulut-canta-kadin-el-ve-omuz-cantasi/
b23,50.0,70.0,120.0,500.0,product_images\photo_47_2025-05-17_16-46-40.jpg,https://yedideri.com/product/kadin-uc-renkli-deri-tote-canta/
b27,30.0,43.0,60.0,300.0,product_images\Ekran görüntüsü 2026-01-15 170416.png,https://yedideri.com/product/luks-hakiki-deri-omuz-cantasi-el-yapimi-sik-model/
b01,86.0,60.0,40.0,200.0,product_images\Ekran görüntüsü 2026-01-15 170131.png,https://yedideri.com/product/hakiki-deri-laptop-cantasi-modern-ve-yenilikci-tasarim/
b11,71.0,48.0,30.0,200.0,product_images\Image_202512311115 (1).jpeg,https://yedideri.com/product/hakiki-deri-sling-bag/
